dataset,domain,seed,depth,shift_strength,constraint,method,n_queries,coverage,direct_valid_rate,repair_recovery_share,mean_cost_valid,mean_changed_valid,sparse_share_leq3,runtime_total_sec,runtime_ms_per_query,n_positive_leaves
breast_cancer,diagnostic benchmark,7,7,0.0,immutable_top3_l1,exact_leaf_cached,83,0.3493975903614458,0.3493975903614458,0.0,0.8259794841391499,1.103448275862069,1.0,0.008195200001864578,0.09873734942005515,8
breast_cancer,diagnostic benchmark,7,7,0.0,immutable_top3_l1,native_exact_k_sparse,83,1.0,1.0,0.0,1.4886555633254221,1.7108433734939759,1.0,0.011208599997189594,0.1350433734601156,8
breast_cancer,diagnostic benchmark,7,7,0.0,immutable_top3_l1,clbr_uncached,83,0.1927710843373494,0.060240963855421686,0.13253012048192772,1.6543528040292745,2.375,1.0,0.01839489999019861,0.22162530108673023,8
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,nn_positive_train,73,1.0,1.0,0.0,6.942331441322774,30.0,0.0,0.004507600001488754,0.061747945225873346,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,leaf_centroid,73,1.0,1.0,0.0,6.343867479880497,30.0,0.0,0.009884200000669807,0.13540000000917543,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,raw_leaf_projection,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.0042789000071934424,0.058615068591690994,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,clbr,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.004125700001168298,0.05651643837216846,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,metric_leaf_projection,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.0041049999999813735,0.05623287671207361,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,metric_clbr,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.004196500000034575,0.05748630137033665,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,exact_leaf,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.02447740000388876,0.3353068493683392,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,exact_leaf_cached,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.008471100007227506,0.11604246585243158,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,native_exact_k_sparse,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.008240599996497622,0.11288493145887153,7
breast_cancer,diagnostic benchmark,13,7,0.0,free_l2,clbr_uncached,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.005546100001083687,0.07597397261758475,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,nn_positive_train,73,1.0,1.0,0.0,6.469752647721441,27.0,0.0,0.004757099996822944,0.06516575338113623,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,leaf_centroid,73,1.0,1.0,0.0,5.876415998396707,27.0,0.0,0.01115360000403598,0.1527890411511778,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,raw_leaf_projection,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.005012899997382192,0.06866986297783824,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,clbr,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.004493600001296727,0.061556164401325025,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,metric_leaf_projection,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.004733400000986876,0.06484109590392981,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,metric_clbr,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.004694600002039806,0.06430958906903844,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,exact_leaf,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.028269199992791982,0.3872493149697532,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,exact_leaf_cached,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.009997699999985343,0.13695479452034717,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,native_exact_k_sparse,73,1.0,1.0,0.0,1.3103136903668997,1.917808219178082,1.0,0.009434600000531645,0.12924109589769378,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_l2,clbr_uncached,73,1.0,1.0,0.0,1.458532188911289,1.917808219178082,1.0,0.006179099998007587,0.08464520545215873,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,nn_positive_train,73,0.2876712328767123,0.2876712328767123,0.0,2.5033447868989174,3.0,1.0,0.004630699998415366,0.06343424655363515,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,leaf_centroid,73,0.2876712328767123,0.2876712328767123,0.0,2.9015532995445446,3.0,1.0,0.010467799998878036,0.14339452053257584,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,raw_leaf_projection,73,0.273972602739726,0.273972602739726,0.0,0.6847573970998474,1.0,1.0,0.0047507000008408795,0.06507808220329972,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,clbr,73,0.2876712328767123,0.273972602739726,0.0136986301369863,0.704860145495141,1.0952380952380953,1.0,0.008915299998989212,0.12212739724642757,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,metric_leaf_projection,73,0.2876712328767123,0.2876712328767123,0.0,0.7018517587196682,1.0476190476190477,1.0,0.004429899999195186,0.060683561632810766,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,metric_clbr,73,0.2876712328767123,0.2876712328767123,0.0,0.7018517587196682,1.0476190476190477,1.0,0.008719299998119823,0.1194424657276688,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,exact_leaf,73,0.2876712328767123,0.2876712328767123,0.0,0.7018517587196682,1.0476190476190477,1.0,0.02268379999895842,0.31073698628710167,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,exact_leaf_cached,73,0.2876712328767123,0.2876712328767123,0.0,0.7018517587196682,1.0476190476190477,1.0,0.006031500000972301,0.08262328768455207,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,native_exact_k_sparse,73,1.0,1.0,0.0,1.6399670473624983,1.917808219178082,1.0,0.009152900008302822,0.1253821918945592,7
breast_cancer,diagnostic benchmark,13,7,0.0,immutable_top3_l1,clbr_uncached,73,0.2876712328767123,0.273972602739726,0.0136986301369863,0.704860145495141,1.0952380952380953,1.0,0.01073309999446792,0.14702876704750575,7
breast_cancer,diagnostic benchmark,19,7,0.0,free_l2,nn_positive_train,73,1.0,1.0,0.0,7.825090140618956,29.931506849315067,0.0,0.004626000000826025,0.06336986302501404,8
breast_cancer,diagnostic benchmark,19,7,0.0,free_l2,leaf_centroid,73,1.0,1.0,0.0,7.014589222543945,30.0,0.0,0.010745999994469457,0.14720547937629394,8
breast_cancer,diagnostic benchmark,19,7,0.0,free_l2,raw_leaf_projection,73,1.0,1.0,0.0,0.9697043208627729,1.4383561643835616,1.0,0.004633499999727064,0.06347260273598718,8
breast_cancer,diagnostic benchmark,19,7,0.0,free_l2,clbr,73,1.0,1.0,0.0,0.9697043208627729,1.4383561643835616,1.0,0.0041470999940429465,0.05680958895949242,8
