dataset,shift_strength,constraint,method,n_seeds,coverage_mean,coverage_ci_low,coverage_ci_high,mean_cost_valid_mean,mean_cost_valid_ci_low,mean_cost_valid_ci_high,mean_changed_valid_mean,mean_changed_valid_ci_low,mean_changed_valid_ci_high,sparse_share_leq3_mean,sparse_share_leq3_ci_low,sparse_share_leq3_ci_high,runtime_ms_per_query_mean,runtime_ms_per_query_ci_low,runtime_ms_per_query_ci_high
adult_income,0.0,free_l2,clbr,10,1.0,1.0,1.0,1.5144311673743847,1.3591194847649446,1.674475726684445,1.816,1.706,1.9245,0.999,0.9974999999999999,1.0,0.06321454999351772,0.06207624874348312,0.06446533250028778
adult_income,0.0,free_l2,clbr_uncached,10,1.0,1.0,1.0,1.5144311673743847,1.3591194847649446,1.674475726684445,1.816,1.706,1.9245,0.999,0.9974999999999999,1.0,0.1183932000058121,0.11290799500137609,0.12424850125098601
adult_income,0.0,free_l2,exact_leaf,10,1.0,1.0,1.0,0.5655934347003571,0.5146320345832228,0.6162686728524149,1.1360000000000001,1.1019999999999999,1.175,1.0,1.0,1.0,0.8031952500086845,0.7458814599973721,0.8642564837704185
adult_income,0.0,free_l2,exact_leaf_cached,10,1.0,1.0,1.0,0.5655934347003571,0.5146320345832228,0.6162686728524149,1.1360000000000001,1.1019999999999999,1.175,1.0,1.0,1.0,0.13940274999913527,0.13769093250020886,0.1411881599955791
adult_income,0.0,free_l2,leaf_centroid,10,1.0,1.0,1.0,3.8499219743539017,3.6034228671840878,4.107210534547252,5.0175,4.9054875000000004,5.1235,0.006500000000000001,0.0,0.015999999999999997,0.4054848500081789,0.3785657125135117,0.4344351712622938
adult_income,0.0,free_l2,metric_clbr,10,1.0,1.0,1.0,0.5655934347003571,0.5146320345832228,0.6162686728524149,1.1360000000000001,1.1019999999999999,1.175,1.0,1.0,1.0,0.061523500005932874,0.06045509000138054,0.06260427499796606
adult_income,0.0,free_l2,metric_leaf_projection,10,1.0,1.0,1.0,0.5655934347003571,0.5146320345832228,0.6162686728524149,1.1360000000000001,1.1019999999999999,1.175,1.0,1.0,1.0,0.0630233000069893,0.06182086625615284,0.06445742999405865
adult_income,0.0,free_l2,native_exact_k_sparse,10,1.0,1.0,1.0,0.5655934347003571,0.5146320345832228,0.6162686728524149,1.1360000000000001,1.1019999999999999,1.175,1.0,1.0,1.0,0.12952235002057932,0.12661007752835757,0.13300424376633374
adult_income,0.0,free_l2,nn_positive_train,10,1.0,1.0,1.0,2.8109827985979385,2.6766350274658155,2.9471286877659124,3.9160000000000004,3.8419875,3.9895000000000005,0.18949999999999997,0.146,0.23399999999999999,0.0709541499882107,0.06780804374012632,0.0744088762544834
adult_income,0.0,free_l2,raw_leaf_projection,10,1.0,1.0,1.0,1.5144311673743847,1.3591194847649446,1.674475726684445,1.816,1.706,1.9245,0.999,0.9974999999999999,1.0,0.06994619999568386,0.06883612374492713,0.07108748999548879
adult_income,0.0,immutable_l2,clbr,10,0.6034999999999999,0.507,0.6765000000000001,1.588305397774523,1.3821161984341435,1.7992427861235412,1.5206658245675975,1.3756181341870268,1.6674052667732393,0.9978260869565216,0.993478260869565,1.0,0.12962420000758357,0.11853471751320513,0.14087028126336917
adult_income,0.0,immutable_l2,clbr_uncached,10,0.6034999999999999,0.507,0.6765000000000001,1.588305397774523,1.3821161984341435,1.7992427861235412,1.5206658245675975,1.3756181341870268,1.6674052667732393,0.9978260869565216,0.993478260869565,1.0,0.18888249999645268,0.17666126373981114,0.20065828999274798
adult_income,0.0,immutable_l2,exact_leaf,10,1.0,1.0,1.0,0.610411115397154,0.5596758391210472,0.6625914974751196,1.026,1.0125,1.042,1.0,1.0,1.0,0.7833398000002489,0.7206257437630825,0.8597613549762286
adult_income,0.0,immutable_l2,exact_leaf_cached,10,1.0,1.0,1.0,0.610411115397154,0.5596758391210472,0.6625914974751196,1.026,1.0125,1.042,1.0,1.0,1.0,0.14118385000210765,0.13801598250144026,0.14397032376577953
adult_income,0.0,immutable_l2,leaf_centroid,10,0.6665,0.595,0.7485,3.750892131571245,3.421058174415832,4.044361603247402,3.027897487183685,2.9496536036240335,3.10806422920937,0.8701518392552137,0.8077462108185623,0.9238686834475411,0.4036336000267511,0.37861947751686104,0.4328909500241025
adult_income,0.0,immutable_l2,metric_clbr,10,0.8924999999999998,0.8489875,0.932,0.7103572214143479,0.646848044642694,0.7731588936048083,1.0964468014151119,1.0668964943865809,1.132460453924195,1.0,1.0,1.0,0.09759154999164821,0.08754908748562684,0.10831475125044109
adult_income,0.0,immutable_l2,metric_leaf_projection,10,0.834,0.7895,0.8779999999999999,0.6024945188787135,0.5445380866108096,0.6591432927084774,1.0232938774700222,1.009458362200825,1.0395122840655775,1.0,1.0,1.0,0.06324105000339841,0.06207192123758887,0.06432231751530253
adult_income,0.0,immutable_l2,native_exact_k_sparse,10,1.0,1.0,1.0,0.610411115397154,0.5596758391210472,0.6625914974751196,1.026,1.0125,1.042,1.0,1.0,1.0,0.1308304500016675,0.12806941124709964,0.13391131001968687
adult_income,0.0,immutable_l2,nn_positive_train,10,0.532,0.437,0.618,2.563223984528384,2.3955386732569623,2.7247939034135324,2.033584596257142,1.9582100935018951,2.110766442373743,0.998530361757106,0.9964470284237725,1.0,0.0695193000033214,0.06712700877162661,0.0719722749951984
adult_income,0.0,immutable_l2,raw_leaf_projection,10,0.5255,0.4295,0.6,1.346232629659505,1.191990147152488,1.4850076778330845,1.3617907040845254,1.224843374967667,1.4912561335221062,1.0,1.0,1.0,0.06787144999361772,0.06624126874797867,0.06965810625159748
adult_income,0.0,immutable_top3_l1,clbr,10,0.5854999999999999,0.49350000000000005,0.6555125,1.8960328980800747,1.6319900331474289,2.172987600063833,1.5020719207822524,1.3661891969745397,1.6364853180374797,1.0,1.0,1.0,0.13484134999180242,0.1247625674847086,0.14503064125141238
adult_income,0.0,immutable_top3_l1,clbr_uncached,10,0.5854999999999999,0.49350000000000005,0.6555125,1.8960328980800747,1.6319900331474289,2.172987600063833,1.5020719207822524,1.3661891969745397,1.6364853180374797,1.0,1.0,1.0,0.19659595000484842,0.18640083375772748,0.20556258499651675
adult_income,0.0,immutable_top3_l1,exact_leaf,10,0.9879999999999999,0.9775,0.9969999999999999,0.7545199660114233,0.6445408798344497,0.8866776830806511,1.0297643772198017,1.016711313218546,1.0463758423876637,1.0,1.0,1.0,0.7467613500080006,0.6896424525116345,0.8068043612595261
adult_income,0.0,immutable_top3_l1,exact_leaf_cached,10,0.9879999999999999,0.9775,0.9969999999999999,0.7545199660114233,0.6445408798344497,0.8866776830806511,1.0297643772198017,1.016711313218546,1.0463758423876637,1.0,1.0,1.0,0.13413004999483746,0.1314751787448131,0.13661273000848267
adult_income,0.0,immutable_top3_l1,leaf_centroid,10,0.38350000000000006,0.3294875,0.44151250000000003,3.311216808145411,3.107914654813569,3.5114983280830785,2.555760609231072,2.457414168558955,2.633931480814885,1.0,1.0,1.0,0.4050747500136822,0.38147718625269816,0.4324099925121345
adult_income,0.0,immutable_top3_l1,metric_clbr,10,0.889,0.8535,0.9225,0.9749368001309169,0.8051363176919448,1.1853622149357723,1.1457908386010727,1.0959670619116264,1.2054554971118963,1.0,1.0,1.0,0.10563644999774624,0.09332999499755487,0.11981363625435507
adult_income,0.0,immutable_top3_l1,metric_leaf_projection,10,0.8074999999999999,0.7675,0.8485000000000001,0.608024673778179,0.5532257686239342,0.6620203842496736,1.012868503321314,1.0050783108942503,1.0228685809128724,1.0,1.0,1.0,0.06043520000366698,0.05910962375062354,0.06177780751087312
adult_income,0.0,immutable_top3_l1,native_exact_k_sparse,10,1.0,1.0,1.0,0.6127412070904784,0.5626372482087971,0.664751214111473,1.0174999999999996,1.009,1.028,1.0,1.0,1.0,0.1349608499972419,0.13244600999190653,0.13747238875273524
adult_income,0.0,immutable_top3_l1,nn_positive_train,10,0.5315,0.4369875,0.6165125000000001,3.3559817939332452,3.1015644376749902,3.606401574393006,2.03154191994121,1.957402666283226,2.1057567780600515,1.0,1.0,1.0,0.0682489500036354,0.06649870875710348,0.07037139999829378
adult_income,0.0,immutable_top3_l1,raw_leaf_projection,10,0.49750000000000005,0.40997500000000003,0.567,1.4852299467869647,1.283922575531081,1.6816867446219368,1.3480873812084697,1.2117193646756617,1.4798952528040417,1.0,1.0,1.0,0.06642859999828943,0.06545655000406896,0.06724671997542372
bank_marketing,0.0,free_l2,clbr,10,1.0,1.0,1.0,1.1697335440585477,1.0349109069966602,1.2977746865233057,1.585,1.5,1.6755125,0.9984999999999999,0.9954999999999998,1.0,0.06242769999698794,0.0610034024967149,0.06388754124706111
bank_marketing,0.0,free_l2,clbr_uncached,10,1.0,1.0,1.0,1.1697335440585477,1.0349109069966602,1.2977746865233057,1.585,1.5,1.6755125,0.9984999999999999,0.9954999999999998,1.0,0.1410886999901777,0.1307397087334607,0.15156451624168313
bank_marketing,0.0,free_l2,exact_leaf,10,1.0,1.0,1.0,0.3763271654296614,0.33192723975609467,0.4208166916527527,1.6420000000000001,1.539475,1.7365,1.0,1.0,1.0,1.0854287000033764,0.9610190287601086,1.2085215049951672
bank_marketing,0.0,free_l2,exact_leaf_cached,10,1.0,1.0,1.0,0.3763271654296614,0.33192723975609467,0.4208166916527527,1.6420000000000001,1.539475,1.7365,1.0,1.0,1.0,0.1381990500090069,0.13581514001890582,0.14051689125493566
bank_marketing,0.0,free_l2,leaf_centroid,10,1.0,1.0,1.0,3.0068875926780065,2.868516521093658,3.148302587308468,6.350999999999999,6.122487499999999,6.5690125,0.0,0.0,0.0,0.52714350000997,0.4747261112514366,0.57879702002042
bank_marketing,0.0,free_l2,metric_clbr,10,1.0,1.0,1.0,0.3763271654296614,0.33192723975609467,0.4208166916527527,1.6420000000000001,1.539475,1.7365,1.0,1.0,1.0,0.06219755000029181,0.06097843250681763,0.06346661125623995
bank_marketing,0.0,free_l2,metric_leaf_projection,10,1.0,1.0,1.0,0.3763271654296614,0.33192723975609467,0.4208166916527527,1.6420000000000001,1.539475,1.7365,1.0,1.0,1.0,0.06235395001158395,0.06106538126380201,0.06363940500339141
bank_marketing,0.0,free_l2,native_exact_k_sparse,10,1.0,1.0,1.0,0.3763271654296614,0.33192723975609467,0.4208166916527527,1.6420000000000001,1.539475,1.7365,1.0,1.0,1.0,0.13011289999622022,0.12816004999838243,0.13235878624772113
bank_marketing,0.0,free_l2,nn_positive_train,10,1.0,1.0,1.0,3.064603033105814,2.957423478324565,3.190400832721646,5.694,5.564,5.8350124999999995,0.0115,0.006500000000000001,0.017,0.06636365001213562,0.0653489362588175,0.06745648376006556
bank_marketing,0.0,free_l2,raw_leaf_projection,10,1.0,1.0,1.0,1.1697335440585477,1.0349109069966602,1.2977746865233057,1.585,1.5,1.6755125,0.9984999999999999,0.9954999999999998,1.0,0.06967360000044209,0.06796009874975653,0.07130103125576852
