dataset,shift_strength,constraint,method,n_seeds,coverage_mean,coverage_ci_low,coverage_ci_high,mean_cost_valid_mean,mean_cost_valid_ci_low,mean_cost_valid_ci_high,mean_changed_valid_mean,mean_changed_valid_ci_low,mean_changed_valid_ci_high,sparse_share_leq3_mean,sparse_share_leq3_ci_low,sparse_share_leq3_ci_high,runtime_ms_per_query_mean,runtime_ms_per_query_ci_low,runtime_ms_per_query_ci_high
adult_income,0.0,free_l2,clbr,10,1.0,1.0,1.0,1.3965815835304096,1.3314865679808954,1.4659905689481403,1.8765,1.7684875,1.9625,1.0,1.0,1.0,0.04127939998761576,0.04036869998186603,0.042264155000520984
adult_income,0.0,free_l2,clbr_uncached,10,1.0,1.0,1.0,1.3965815835304096,1.3314865679808954,1.4659905689481403,1.8765,1.7684875,1.9625,1.0,1.0,1.0,0.06022299999904135,0.057056356256850904,0.06383943373523379
adult_income,0.0,free_l2,exact_leaf,10,1.0,1.0,1.0,0.5989722173790861,0.5594165383084927,0.6435869866118074,1.068,1.0450000000000002,1.09,1.0,1.0,1.0,0.3222452500122017,0.291305656267275,0.34903155000548625
adult_income,0.0,free_l2,exact_leaf_cached,10,1.0,1.0,1.0,0.5989722173790861,0.5594165383084927,0.6435869866118074,1.068,1.0450000000000002,1.09,1.0,1.0,1.0,0.08619949999138043,0.08478683373645027,0.08771116876388305
adult_income,0.0,free_l2,leaf_centroid,10,1.0,1.0,1.0,4.051742536787964,3.8214790038905675,4.250346214352356,5.0875,5.058000000000001,5.112,0.0,0.0,0.0,0.18834884999796486,0.17273738998977706,0.20343048499677252
adult_income,0.0,free_l2,metric_clbr,10,1.0,1.0,1.0,0.5989722173790861,0.5594165383084927,0.6435869866118074,1.068,1.0450000000000002,1.09,1.0,1.0,1.0,0.04043539999383938,0.03964384499471407,0.0413804549987276
adult_income,0.0,free_l2,metric_leaf_projection,10,1.0,1.0,1.0,0.5989722173790861,0.5594165383084927,0.6435869866118074,1.068,1.0450000000000002,1.09,1.0,1.0,1.0,0.04190979999657429,0.041213558746426314,0.04263913749246058
adult_income,0.0,free_l2,native_exact_k_sparse,10,1.0,1.0,1.0,0.5989722173790861,0.5594165383084927,0.6435869866118074,1.068,1.0450000000000002,1.09,1.0,1.0,1.0,0.08357069999919986,0.08154154248647956,0.08577660250557528
adult_income,0.0,free_l2,nn_positive_train,10,1.0,1.0,1.0,2.6532018548782945,2.575735782363121,2.7322237971524386,3.918,3.8669749999999996,3.9555124999999998,0.15299999999999997,0.12449999999999999,0.1895,0.04587964998700045,0.04476955373377223,0.04703936998384961
adult_income,0.0,free_l2,raw_leaf_projection,10,1.0,1.0,1.0,1.3965815835304096,1.3314865679808954,1.4659905689481403,1.8765,1.7684875,1.9625,1.0,1.0,1.0,0.043817599993872136,0.04269480499988276,0.04487782249700558
