dataset,domain,seed,depth,shift_strength,constraint,method,n_queries,coverage,direct_valid_rate,repair_recovery_share,mean_cost_valid,mean_changed_valid,sparse_share_leq3,runtime_total_sec,runtime_ms_per_query,n_positive_leaves
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,nn_positive_train,78,1.0,1.0,0.0,7.407011783566659,29.974358974358974,0.0,0.004265599994141667,0.05468717941207265,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,leaf_centroid,78,1.0,1.0,0.0,7.329371916646733,30.0,0.0,0.007531600001129846,0.09655897437345956,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,raw_leaf_projection,78,1.0,1.0,0.0,1.5792441297317408,1.7435897435897436,1.0,0.004255299998476403,0.05455512818559491,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,clbr,78,1.0,1.0,0.0,1.5792441297317408,1.7435897435897436,1.0,0.0042031999973914935,0.0538871794537371,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,metric_leaf_projection,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.004181100005553162,0.05360384622504054,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,metric_clbr,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.004206900001008762,0.05393461539754823,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,exact_leaf,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.013261700002658472,0.17002179490587785,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,exact_leaf_cached,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.008824800002912525,0.11313846157580161,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,native_exact_k_sparse,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.008277699998870958,0.10612435895988408,3
breast_cancer,diagnostic benchmark,7,3,0.0,free_l2,clbr_uncached,78,1.0,1.0,0.0,1.5792441297317408,1.7435897435897436,1.0,0.004742399997667235,0.060799999970092757,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,nn_positive_train,78,1.0,1.0,0.0,7.0786028709172095,26.974358974358974,0.0,0.004299800001717813,0.055125641047664264,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,leaf_centroid,78,1.0,1.0,0.0,6.842558410964694,27.0,0.0,0.006845800005066849,0.08776666673162627,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,raw_leaf_projection,78,1.0,1.0,0.0,1.5792441297317408,1.7435897435897436,1.0,0.004140500002904446,0.05308333337056982,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,clbr,78,1.0,1.0,0.0,1.5792441297317408,1.7435897435897436,1.0,0.0040577999943707255,0.052023076850906735,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,metric_leaf_projection,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.004161900001236063,0.05335769232353927,3
breast_cancer,diagnostic benchmark,7,3,0.0,immutable_l2,metric_clbr,78,1.0,1.0,0.0,1.2073536608560487,1.6153846153846154,1.0,0.003984299994954199,0.051080769166079475,3
