dataset,seed,displacement,protocol,metric,method,n_queries,coverage,conditional_cost
breast_cancer,13,0.0,immutable,weighted_l1,fixed_support_exact,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable,scaled_l2,metric_projection,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable,scaled_l2,metric_repair,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable,scaled_l2,fixed_support_exact,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,13,0.0,immutable_top3,weighted_l1,metric_projection,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,0.0,immutable_top3,weighted_l1,metric_repair,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,0.0,immutable_top3,weighted_l1,fixed_support_exact,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,0.0,immutable_top3,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,0.0,immutable_top3,scaled_l2,metric_projection,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,0.0,immutable_top3,scaled_l2,metric_repair,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,0.0,immutable_top3,scaled_l2,fixed_support_exact,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,0.0,immutable_top3,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,13,1.0,free,weighted_l1,metric_projection,73,1.0,1.6399670473624983
breast_cancer,13,1.0,free,weighted_l1,metric_repair,73,1.0,1.6399670473624983
breast_cancer,13,1.0,free,weighted_l1,fixed_support_exact,73,1.0,1.6399670473624983
breast_cancer,13,1.0,free,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,1.0,free,scaled_l2,metric_projection,73,1.0,1.3103136903668997
breast_cancer,13,1.0,free,scaled_l2,metric_repair,73,1.0,1.3103136903668997
