dataset,constraint,coverage_gain,cost_saving,changed_reduction
adult_income,free_l2,0.0,0.6082161995494255,0.50825
adult_income,immutable_l2,0.16975,0.5831475148494343,0.3555710166486224
adult_income,immutable_top3_l1,0.16499999999999998,0.730005945324366,0.3674589537910479
bank_marketing,free_l2,0.0,0.6451214762119741,0.004750000000000009
bank_marketing,immutable_l2,0.40449999999999997,0.15572727378434353,1.0048283092713144
bank_marketing,immutable_top3_l1,0.44275000000000003,-0.08758677252775984,0.9427580228818246
breast_cancer,free_l2,0.0,0.34304197812254444,0.028914835949392936
breast_cancer,immutable_l2,0.07692536082947043,0.3491324340410271,0.740984190137518
breast_cancer,immutable_top3_l1,0.1630447189724382,0.08784416555169026,1.222577844864741
compas,free_l2,0.0,0.6234871596375909,0.31925000000000003
compas,immutable_l2,0.298,0.35093794059480576,0.25719579205742527
compas,immutable_top3_l1,0.298,0.4434633242657834,0.26194579205742524
credit_default,free_l2,0.0,0.45794677167821707,-0.0017500000000000072
credit_default,immutable_l2,0.0015000000000000013,0.49661750221321055,0.3125091492817623
credit_default,immutable_top3_l1,0.24825,-0.3328091338159661,1.6807414311873579
german_credit,free_l2,0.0,0.5117014304089069,0.04499921742467901
german_credit,immutable_l2,0.3111267977573125,0.46110230440630035,0.9307941917207954
german_credit,immutable_top3_l1,0.32252415546887375,0.6382580737292298,0.8787886568495139
synthetic_overlap,free_l2,0.0,0.0202888489293119,-0.0007431853035015701
synthetic_overlap,immutable_l2,0.19295462013290268,0.09802390838006103,1.4710790314718014
synthetic_overlap,immutable_top3_l1,0.21912732525469392,0.5747928694620364,0.9706111561036446
wine_binary,free_l2,0.0,0.12284894918145028,0.04821428571428573
wine_binary,immutable_l2,0.0,0.0,0.0
wine_binary,immutable_top3_l1,0.0,0.0,0.0
