support_rule,n_units,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
feature_importance,80,0.9443927857964093,0.8353992900764168,1.1828462616497792,1.0
nearest_positive,80,0.684793472034795,0.8850990213812471,1.0993665443644853,1.0
random,400,0.6135449017829211,0.9245530411458088,1.1088105298904354,1.0
