dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
breast_cancer,37,random,1,74,0.04054054054054054,0.1353040774370082,1.0,1.0
breast_cancer,37,random,2,74,0.06756756756756757,0.45524848688264213,1.0,1.0
breast_cancer,37,random,3,74,0.05405405405405406,0.44560440561313286,1.0,1.0
breast_cancer,37,random,4,74,0.06756756756756757,0.32624664726815916,1.0,1.0
breast_cancer,37,feature_importance,0,74,1.0,1.5703205872756913,2.0945945945945947,1.0
breast_cancer,41,nearest_positive,0,82,0.3048780487804878,0.6797677987231885,1.0,1.0
breast_cancer,41,random,0,82,0.10975609756097561,1.5249230213842317,1.0,1.0
breast_cancer,41,random,1,82,0.24390243902439024,1.0255710232121924,1.1,1.0
breast_cancer,41,random,2,82,0.13414634146341464,1.8594455147778106,1.0909090909090908,1.0
breast_cancer,41,random,3,82,0.10975609756097561,1.6084407048282767,1.1111111111111112,1.0
breast_cancer,41,random,4,82,0.23170731707317074,1.4834153486549129,1.0526315789473684,1.0
breast_cancer,41,feature_importance,0,82,1.0,1.265519297154056,1.0975609756097562,1.0
breast_cancer,53,nearest_positive,0,83,0.1927710843373494,0.7510668101888041,1.0625,1.0
breast_cancer,53,random,0,83,0.04819277108433735,0.7451440354610399,1.25,1.0
breast_cancer,53,random,1,83,0.10843373493975904,1.59436267449792,1.3333333333333333,1.0
breast_cancer,53,random,2,83,0.060240963855421686,0.7785374073472073,1.0,1.0
breast_cancer,53,random,3,83,0.0963855421686747,0.9562771741525834,1.0,1.0
breast_cancer,53,random,4,83,0.0963855421686747,1.0001239262167458,1.125,1.0
breast_cancer,53,feature_importance,0,83,1.0,1.5562735861599788,1.6506024096385543,1.0
breast_cancer,61,nearest_positive,0,77,0.8961038961038961,1.09487318948143,1.0,1.0
breast_cancer,61,random,0,77,0.24675324675324675,1.3509976753628146,1.0,1.0
breast_cancer,61,random,1,77,0.22077922077922077,0.807107469338855,1.0588235294117647,1.0
breast_cancer,61,random,2,77,0.3116883116883117,1.107936765948275,1.0,1.0
breast_cancer,61,random,3,77,0.2077922077922078,0.8078548829023475,1.0,1.0
breast_cancer,61,random,4,77,0.18181818181818182,1.2483777008969916,1.0,1.0
breast_cancer,61,feature_importance,0,77,1.0,0.9186115434878185,1.103896103896104,1.0
breast_cancer,73,nearest_positive,0,83,0.26506024096385544,0.9149258547427469,1.0,1.0
breast_cancer,73,random,0,83,0.13253012048192772,1.03394190393788,1.0,1.0
breast_cancer,73,random,1,83,0.10843373493975904,0.913978665089854,1.1111111111111112,1.0
breast_cancer,73,random,2,83,0.21686746987951808,0.8017136449537663,1.0,1.0
breast_cancer,73,random,3,83,0.13253012048192772,0.4246512861893941,1.0909090909090908,1.0
breast_cancer,73,random,4,83,0.060240963855421686,0.8147282989687972,1.0,1.0
breast_cancer,73,feature_importance,0,83,1.0,1.0528915714335936,1.0120481927710843,1.0
breast_cancer,89,nearest_positive,0,72,0.625,1.2381181463286186,1.1555555555555554,1.0
breast_cancer,89,random,0,72,0.19444444444444445,1.262776802265579,1.0,1.0
breast_cancer,89,random,1,72,0.2222222222222222,1.0569794369427248,1.0625,1.0
breast_cancer,89,random,2,72,0.16666666666666666,0.8571967165938887,1.1666666666666667,1.0
breast_cancer,89,random,3,72,0.2222222222222222,2.0146563858535376,1.0,1.0
breast_cancer,89,random,4,72,0.20833333333333334,1.4011520954696401,1.0666666666666667,1.0
breast_cancer,89,feature_importance,0,72,1.0,1.301658646138429,1.2638888888888888,1.0
wine_binary,7,nearest_positive,0,21,0.0,,,
wine_binary,7,random,0,21,0.0,,,
wine_binary,7,random,1,21,0.047619047619047616,0.8304884170042331,1.0,1.0
wine_binary,7,random,2,21,0.047619047619047616,1.061580606532698,1.0,1.0
wine_binary,7,random,3,21,0.0,,,
wine_binary,7,random,4,21,0.047619047619047616,0.8304884170042331,1.0,1.0
