protocol,n_queries,n_repair_success,n_exact_success,n_shared,n_exact_strictly_better,n_equal,n_violation,mean_exact_shared,mean_repair_shared,mean_paired_saving,median_paired_saving,strict_improvement_share,paired_effect_dz
free_l2,23018,23018,23018,23018,11790,11228,0,0.5718545902901031,1.0408039809996354,0.4689493907095351,0.0208352878443539,0.5122078373446868,0.5656658534130548
immutable_l2,23018,18120,22850,18120,9272,8848,0,0.5545192651821,0.9934255986796403,0.4389063334975232,0.0073959562843102095,0.5116997792494481,0.49305709279640414
immutable_top3_l1,23018,11306,17431,11306,5811,5495,0,0.6912458518157957,1.3321677162481191,0.6409218644323162,0.012657541231199887,0.5139748805943747,0.5416344753558655
