constraint,method,n_units,coverage,cost,changed,latency_ms
free_l2,clbr,160,1.0,1.029854905076019,1.3908054308577813,0.043715137392968895
free_l2,clbr_uncached,160,1.0,1.029854905076019,1.3908054308577813,0.06420994762903523
free_l2,exact_leaf,160,1.0,0.6132733033610913,1.271819786634674,0.3451692006530508
free_l2,exact_leaf_cached,160,1.0,0.6132733033610913,1.271819786634674,0.09362256523506232
free_l2,leaf_centroid,160,1.0,4.336103044758543,13.372479121416855,0.1804053701402754
free_l2,metric_clbr,160,1.0,0.6132733033610913,1.271819786634674,0.04350734975497462
free_l2,metric_leaf_projection,160,1.0,0.6132733033610913,1.271819786634674,0.04421269980475536
free_l2,native_exact_k_sparse,160,1.0,0.6132733033610913,1.271819786634674,0.08989840442908029
free_l2,nn_positive_train,160,1.0,4.08932314117822,12.189294198940932,0.05625963930541857
free_l2,raw_leaf_projection,160,1.0,1.029854905076019,1.3908054308577813,0.04712213212616391
immutable_l2,clbr,160,0.7741173720631852,1.0097930470995697,1.8733986560427989,0.08661683774484728
immutable_l2,clbr_uncached,160,0.7741173720631852,1.0097930470995697,1.8733986560427989,0.1083139541251928
immutable_l2,exact_leaf,160,0.9559619694031459,0.6940096447870149,1.2312516078669458,0.3358652721683821
immutable_l2,exact_leaf_cached,160,0.9559619694031459,0.6940096447870149,1.2312516078669458,0.09326119958192566
immutable_l2,leaf_centroid,160,0.7452443606851082,3.6675730231809713,10.40354635906293,0.18045338788397086
immutable_l2,metric_clbr,160,0.8592322201802304,0.7764062129841122,2.079853962189389,0.07369651144059187
immutable_l2,metric_leaf_projection,160,0.7888327209101007,0.5904068842222857,1.2176252588368532,0.04451116109305364
immutable_l2,native_exact_k_sparse,160,0.9559619694031459,0.6940096447870149,1.2312516078669458,0.08905276479363008
immutable_l2,nn_positive_train,160,0.7260366444270482,3.195240314577154,9.652814385437889,0.055674715964331066
immutable_l2,raw_leaf_projection,160,0.6801355686292113,0.8569461673978126,1.2646653453942727,0.046791283804115305
immutable_top3_l1,clbr,160,0.4471903209421185,1.161192506257936,1.9394191807056715,0.11620002665382152
immutable_top3_l1,clbr_uncached,160,0.4471903209421185,1.161192506257936,1.9394191807056715,0.14137730219651884
immutable_top3_l1,exact_leaf,160,0.6795273459041192,0.8909334967856493,1.1071978836352037,0.3150973319191947
immutable_top3_l1,exact_leaf_cached,160,0.6795273459041192,0.8909334967856493,1.1071978836352037,0.08001124926139774
immutable_top3_l1,leaf_centroid,160,0.3999708878941044,2.93072312931406,2.9372199806367227,0.18031920183354921
immutable_top3_l1,metric_clbr,160,0.5425410501098697,0.9250833732509735,1.4483320791045067,0.0916646337421128
immutable_top3_l1,metric_leaf_projection,160,0.466459940884466,0.5823622688179425,1.0882921938655692,0.04273110851741485
immutable_top3_l1,native_exact_k_sparse,160,0.9559619694031459,0.7447418611601427,1.1996079809284688,0.09278140756754769
immutable_top3_l1,nn_positive_train,160,0.4333774447196266,2.490815123450177,2.7297350259241298,0.0559112578948399
immutable_top3_l1,raw_leaf_projection,160,0.31738831524088507,0.8342226670473044,1.155004044246898,0.04608311958006871
